anchor_at,component_index,component_fingerprint,squared_mahalanobis,threshold,top_feature_contributions
2023-03-05T00:00:00Z,0,39e3bacf11776871a5ff8111,52.123246999919907,46.927890160080743,return_autocorr_3d=8.7391052030289647|rv_ratio_1d_3d=8.1698557142801693|rv_1d=6.1727573682184875|directional_efficiency_3d=5.3477949284369819|volume_cv_3d=4.2294439976272873
2023-04-11T00:00:00Z,2,dddf565fe433ec33a8d07106,58.619035231810408,46.927890160080743,directional_efficiency_3d=7.694985966800366|directional_efficiency_1d=6.6486372756059495|sign_change_rate_3d=6.136790818673699|rv_ratio_1d_3d=5.0331895366385559|volume_ratio_1d_3d=4.9368446897644178
2023-05-29T00:00:00Z,2,dddf565fe433ec33a8d07106,54.438151341804463,46.927890160080743,directional_efficiency_1d=9.3183649527874497|directional_efficiency_3d=7.4438531990860533|mean_upper_wick_ratio_3d=6.8713533063362542|return_autocorr_1d=3.9781348713520934|mean_lower_wick_ratio_3d=3.8912023318847528
2023-06-06T00:00:00Z,0,39e3bacf11776871a5ff8111,61.804948083691919,46.927890160080743,volume_cv_3d=11.81448985194773|directional_efficiency_3d=8.0364287550294922|directional_efficiency_1d=7.935957810456963|volume_ratio_1d_3d=7.3454390898428601|rv_ratio_1d_3d=4.343630768352158
2023-07-02T00:00:00Z,1,b03e2a19935047396af5f0d5,49.797017509203997,46.927890160080743,volume_cv_3d=8.6134082030831731|mean_upper_wick_ratio_3d=7.015276423048979|return_autocorr_1d=5.9032911101505032|sign_change_rate_1d=5.6312808495156652|mean_body_ratio_3d=4.706455852948852
2023-07-04T00:00:00Z,1,b03e2a19935047396af5f0d5,59.060087322061932,46.927890160080743,return_autocorr_3d=8.4714386241948727|mean_upper_wick_ratio_3d=7.015276423048979|directional_efficiency_3d=4.9289918728100002|mean_body_ratio_3d=4.706455852948852|return_12h=4.252485045818009
2023-07-16T00:00:00Z,1,b03e2a19935047396af5f0d5,53.267347839500538,46.927890160080743,return_2d=7.881944672617168|return_autocorr_1d=6.5231240979905332|volume_cv_3d=5.1032366191200662|rv_ratio_1d_3d=4.3429427165935772|max_drawdown_3d=3.872291468253735
2023-07-17T00:00:00Z,1,b03e2a19935047396af5f0d5,63.644952417777127,46.927890160080743,directional_efficiency_3d=18.287132007326605|volume_cv_3d=8.515262497771463|return_autocorr_1d=6.5231240979905332|return_3d=6.2482835323610431|sign_change_rate_3d=5.0971063845573976
2023-08-15T00:00:00Z,1,b03e2a19935047396af5f0d5,51.162138563962728,46.927890160080743,volume_ratio_1d_3d=11.352188017582192|rv_ratio_1d_3d=7.930727843187765|volume_cv_3d=4.9475424719671697|mean_upper_wick_ratio_3d=4.5177336588405552|sign_change_rate_3d=3.9766527615502656
2023-08-18T00:00:00Z,3,e37692350fa4ad4230e3336e,76.506760027341954,46.927890160080743,return_autocorr_3d=10.715611815273075|return_autocorr_1d=9.5926009265522438|volume_cv_3d=8.5829108121672366|rv_4h=7.6609643598016692|rv_1d=7.5853519840869383
2023-08-30T00:00:00Z,3,e37692350fa4ad4230e3336e,60.919616880577159,46.927890160080743,volume_cv_3d=11.10807301099107|volume_ratio_1d_3d=6.9258896801007825|return_autocorr_3d=6.6408152713389832|return_autocorr_1d=5.8691005432623653|directional_efficiency_3d=5.0281228254814412
2023-09-01T00:00:00Z,0,39e3bacf11776871a5ff8111,54.590110616320047,46.927890160080743,volume_cv_3d=15.530771777258437|return_autocorr_3d=8.7391052030289647|directional_efficiency_1d=7.9469048919975762|return_12h=4.0248804182218558|max_runup_3d=3.8135025290702247
2023-09-03T00:00:00Z,0,39e3bacf11776871a5ff8111,59.978249199919702,46.927890160080743,rv_ratio_1d_3d=6.8377850309200321|rv_1d=6.735103325749602|volume_cv_3d=5.8904465275647873|volume_ratio_1d_3d=5.6392383439867153|directional_efficiency_3d=4.557194963571801
2023-09-12T00:00:00Z,0,39e3bacf11776871a5ff8111,53.141077696673875,46.927890160080743,volume_cv_3d=15.530771777258437|volume_ratio_1d_3d=8.0468286846114108|rv_ratio_1d_3d=5.1623452129398792|rv_3d=4.7838108505976065|max_runup_3d=3.1938398568522692
2023-10-02T00:00:00Z,2,dddf565fe433ec33a8d07106,69.025458740437458,46.927890160080743,rv_4h=13.124759400680759|return_4h=10.835032646346635|volume_cv_3d=10.511393347045388|directional_efficiency_1d=9.3183649527874497|sign_change_rate_3d=5.6455765896766534
2023-10-17T00:00:00Z,3,e37692350fa4ad4230e3336e,52.435726258029312,46.927890160080743,volume_cv_3d=11.10807301099107|return_autocorr_3d=10.715611815273075|return_autocorr_1d=7.5100067074922263|volume_ratio_1d_3d=6.9258896801007825|rv_ratio_1d_3d=3.3676066318819564
2023-10-18T00:00:00Z,2,dddf565fe433ec33a8d07106,70.341609910321182,46.927890160080743,volume_cv_3d=15.407014526656225|return_autocorr_3d=11.721070317620507|close_location_3d=11.227198130736463|rv_ratio_1d_3d=6.3235949489668712|range_ratio_3d=6.1436298943327223
